sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:ALP:S01_S02,ALP,S01,S02,1,0
SEC:ALP:S02_S03,ALP,S02,S03,2,0
SEC:ALP:S03_S04,ALP,S03,S04,3,0
SEC:ALP:S04_H01,ALP,S04,H01,4,0
SEC:ALP:H01_H02,ALP,H01,H02,5,0
SEC:ALP:H02_S05,ALP,H02,S05,6,0
SEC:ALP:S05_S06,ALP,S05,S06,7,0
SEC:ALP:S06_S07,ALP,S06,S07,8,0
SEC:ALP:S07_S08,ALP,S07,S08,9,0
SEC:BET:S11_S12,BET,S11,S12,1,0
SEC:BET:S12_S13,BET,S12,S13,2,0
SEC:BET:S13_S14,BET,S13,S14,3,0
SEC:BET:S14_H01,BET,S14,H01,4,0
SEC:BET:H01_H02,BET,H01,H02,5,0
SEC:BET:H02_S15,BET,H02,S15,6,0
SEC:BET:S15_S16,BET,S15,S16,7,0
SEC:BET:S16_S17,BET,S16,S17,8,0
SEC:BET:S17_S18,BET,S17,S18,9,0
SEC:DEL:SDE01_SDE02,DEL,SDE01,SDE02,1,0
SEC:DEL:SDE02_SDE03,DEL,SDE02,SDE03,2,0
SEC:DEL:SDE03_SDE04,DEL,SDE03,SDE04,3,0
SEC:DEL:SDE04_H01,DEL,SDE04,H01,4,0
SEC:DEL:H01_H02,DEL,H01,H02,5,0
SEC:DEL:H02_SDE07,DEL,H02,SDE07,6,0
SEC:DEL:SDE07_SDE08,DEL,SDE07,SDE08,7,0
SEC:DEL:SDE08_SDE09,DEL,SDE08,SDE09,8,0
SEC:DEL:SDE09_SDE10,DEL,SDE09,SDE10,9,0
SEC:EPS:SEP01_SEP02,EPS,SEP01,SEP02,1,0
SEC:EPS:SEP02_SEP03,EPS,SEP02,SEP03,2,0
SEC:EPS:SEP03_SEP04,EPS,SEP03,SEP04,3,0
SEC:EPS:SEP04_H01,EPS,SEP04,H01,4,0
SEC:EPS:H01_H02,EPS,H01,H02,5,0
SEC:EPS:H02_SEP07,EPS,H02,SEP07,6,0
SEC:EPS:SEP07_SEP08,EPS,SEP07,SEP08,7,0
SEC:EPS:SEP08_SEP09,EPS,SEP08,SEP09,8,0
SEC:EPS:SEP09_SEP10,EPS,SEP09,SEP10,9,0
SEC:GAM:SGA01_SGA02,GAM,SGA01,SGA02,1,0
SEC:GAM:SGA02_SGA03,GAM,SGA02,SGA03,2,0
SEC:GAM:SGA03_SGA04,GAM,SGA03,SGA04,3,0
SEC:GAM:SGA04_H01,GAM,SGA04,H01,4,0
SEC:GAM:H01_H02,GAM,H01,H02,5,0
SEC:GAM:H02_SGA07,GAM,H02,SGA07,6,0
SEC:GAM:SGA07_SGA08,GAM,SGA07,SGA08,7,0
SEC:GAM:SGA08_SGA09,GAM,SGA08,SGA09,8,0
SEC:GAM:SGA09_SGA10,GAM,SGA09,SGA10,9,0
