location_id,location_kind,line_code,bound,supply_capacity
PLAT:ALP:H01:EB,platform sector,ALP,EB,1
PLAT:ALP:H01:WB,platform sector,ALP,WB,1
PLAT:ALP:H02:EB,platform sector,ALP,EB,1
PLAT:ALP:H02:WB,platform sector,ALP,WB,1
PLAT:ALP:S01:EB,platform sector,ALP,EB,2
PLAT:ALP:S01:WB,platform sector,ALP,WB,2
PLAT:ALP:S02:EB,platform sector,ALP,EB,2
PLAT:ALP:S02:WB,platform sector,ALP,WB,2
PLAT:ALP:S03:EB,platform sector,ALP,EB,2
PLAT:ALP:S03:WB,platform sector,ALP,WB,2
PLAT:ALP:S04:EB,platform sector,ALP,EB,2
PLAT:ALP:S04:WB,platform sector,ALP,WB,2
PLAT:ALP:S05:EB,platform sector,ALP,EB,2
PLAT:ALP:S05:WB,platform sector,ALP,WB,2
PLAT:ALP:S06:EB,platform sector,ALP,EB,2
PLAT:ALP:S06:WB,platform sector,ALP,WB,2
PLAT:ALP:S07:EB,platform sector,ALP,EB,2
PLAT:ALP:S07:WB,platform sector,ALP,WB,2
PLAT:ALP:S08:EB,platform sector,ALP,EB,2
PLAT:ALP:S08:WB,platform sector,ALP,WB,2
PLAT:BET:H01:EB,platform sector,BET,EB,1
PLAT:BET:H01:WB,platform sector,BET,WB,1
PLAT:BET:H02:EB,platform sector,BET,EB,1
PLAT:BET:H02:WB,platform sector,BET,WB,1
PLAT:BET:S11:EB,platform sector,BET,EB,2
PLAT:BET:S11:WB,platform sector,BET,WB,2
PLAT:BET:S12:EB,platform sector,BET,EB,2
PLAT:BET:S12:WB,platform sector,BET,WB,2
PLAT:BET:S13:EB,platform sector,BET,EB,2
PLAT:BET:S13:WB,platform sector,BET,WB,2
PLAT:BET:S14:EB,platform sector,BET,EB,2
PLAT:BET:S14:WB,platform sector,BET,WB,2
PLAT:BET:S15:EB,platform sector,BET,EB,2
PLAT:BET:S15:WB,platform sector,BET,WB,2
PLAT:BET:S16:EB,platform sector,BET,EB,2
PLAT:BET:S16:WB,platform sector,BET,WB,2
PLAT:BET:S17:EB,platform sector,BET,EB,2
PLAT:BET:S17:WB,platform sector,BET,WB,2
PLAT:BET:S18:EB,platform sector,BET,EB,2
PLAT:BET:S18:WB,platform sector,BET,WB,2
PLAT:DEL:H01:EB,platform sector,DEL,EB,4
PLAT:DEL:H01:WB,platform sector,DEL,WB,4
PLAT:DEL:H02:EB,platform sector,DEL,EB,4
PLAT:DEL:H02:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE01:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE01:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE02:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE02:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE03:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE03:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE04:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE04:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE07:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE07:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE08:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE08:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE09:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE09:WB,platform sector,DEL,WB,4
PLAT:DEL:SDE10:EB,platform sector,DEL,EB,4
PLAT:DEL:SDE10:WB,platform sector,DEL,WB,4
PLAT:EPS:H01:EB,platform sector,EPS,EB,4
PLAT:EPS:H01:WB,platform sector,EPS,WB,4
PLAT:EPS:H02:EB,platform sector,EPS,EB,4
PLAT:EPS:H02:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP01:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP01:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP02:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP02:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP03:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP03:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP04:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP04:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP07:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP07:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP08:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP08:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP09:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP09:WB,platform sector,EPS,WB,4
PLAT:EPS:SEP10:EB,platform sector,EPS,EB,4
PLAT:EPS:SEP10:WB,platform sector,EPS,WB,4
PLAT:GAM:H01:EB,platform sector,GAM,EB,4
PLAT:GAM:H01:WB,platform sector,GAM,WB,4
PLAT:GAM:H02:EB,platform sector,GAM,EB,4
PLAT:GAM:H02:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA01:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA01:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA02:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA02:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA03:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA03:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA04:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA04:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA07:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA07:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA08:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA08:WB,platform sector,GAM,WB,4
PLAT:GAM:SGA09:EB,platform sector,GAM,EB,4
PLAT:GAM:SGA09:WB,platform sector,GAM,WB,4
