scenario,contract_number,simulated_completion_date,overrun_days
<<<<<<< HEAD:server/data/actual_output/RESULTS.csv
C,C001,2027-06-13,0
C,C002,2027-07-04,0
C,C003,2027-06-27,0
C,C004,2027-07-25,0
C,C005,2027-03-21,0
C,C006,2027-07-11,7
C,C007,2027-07-11,0
C,C008,2027-07-11,0
C,C009,2027-06-20,0
C,C010,2027-05-23,7
C,C011,2027-07-11,0
C,C012,2027-06-20,0
C,C013,2027-05-30,0
C,C014,2027-07-18,0
=======
A,C001,2027-06-13,0
A,C002,2027-07-11,7
A,C003,2027-06-27,0
A,C004,2027-07-25,0
A,C005,2027-03-21,0
A,C006,2027-07-18,14
A,C007,2027-07-11,0
A,C008,2027-07-18,0
A,C009,2027-06-27,0
A,C010,2027-05-23,7
A,C011,2027-07-11,0
A,C012,2027-07-04,0
A,C013,2027-05-30,0
A,C014,2027-07-25,7
>>>>>>> de967e7465173c49733424e29719b122586253fd:server/data/RESULTS.csv
