activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,b2
A001,21,PLAT:BET:S16:EB,b1
A001,21,PLAT:BET:S17:EB,b2
A001,21,SEC:BET:S15_S16:EB,b1
A001,21,SEC:BET:S16_S17:EB,b4
A001,23,PLAT:BET:S15:EB,b2
A001,23,PLAT:BET:S16:EB,b2
A001,23,PLAT:BET:S17:EB,b2
A001,23,SEC:BET:S15_S16:EB,b4
A001,23,SEC:BET:S16_S17:EB,b2
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b2
A003,11,PLAT:BET:S16:EB,b2
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b4
A003,13,PLAT:BET:H01:EB,b1
A003,13,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:S15:EB,b2
A003,13,PLAT:BET:S16:EB,b2
A003,13,SEC:BET:H01_H02:EB,b1
A003,13,SEC:BET:H02_S15:EB,b1
A003,13,SEC:BET:S15_S16:EB,b4
A003,14,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b2
A003,14,PLAT:BET:S16:EB,b2
A003,14,SEC:BET:H01_H02:EB,b1
A003,14,SEC:BET:H02_S15:EB,b1
A003,14,SEC:BET:S15_S16:EB,b4
A003,17,PLAT:BET:H01:EB,b1
A003,17,PLAT:BET:H02:EB,b1
A003,17,PLAT:BET:S15:EB,b2
A003,17,PLAT:BET:S16:EB,b2
A003,17,SEC:BET:H01_H02:EB,b1
A003,17,SEC:BET:H02_S15:EB,b1
A003,17,SEC:BET:S15_S16:EB,b4
A003,18,PLAT:BET:H01:EB,b1
A003,18,PLAT:BET:H02:EB,b1
A003,18,PLAT:BET:S15:EB,b2
A003,18,PLAT:BET:S16:EB,b2
A003,18,SEC:BET:H01_H02:EB,b1
A003,18,SEC:BET:H02_S15:EB,b1
A003,18,SEC:BET:S15_S16:EB,b4
A004,20,PLAT:ALP:H01:EB,b1
A004,20,PLAT:ALP:S03:EB,b2
A004,20,PLAT:ALP:S04:EB,b1
A004,20,SEC:ALP:S03_S04:EB,b1
A004,20,SEC:ALP:S04_H01:EB,b1
A004,22,PLAT:ALP:H01:EB,b1
A004,22,PLAT:ALP:S03:EB,b2
A004,22,PLAT:ALP:S04:EB,b1
A004,22,SEC:ALP:S03_S04:EB,b1
A004,22,SEC:ALP:S04_H01:EB,b1
A004,23,PLAT:ALP:H01:EB,b1
A004,23,PLAT:ALP:S03:EB,b2
A004,23,PLAT:ALP:S04:EB,b1
A004,23,SEC:ALP:S03_S04:EB,b1
A004,23,SEC:ALP:S04_H01:EB,b1
A006,13,PLAT:ALP:H01:WB,b1
