activity_id,week,location_id,co_share_group
A001,22,PLAT:BET:S15:EB,b1
A001,22,PLAT:BET:S16:EB,b1
A001,22,PLAT:BET:S17:EB,b1
A001,22,SEC:BET:S15_S16:EB,b3
A001,22,SEC:BET:S16_S17:EB,b3
A001,25,PLAT:BET:S15:EB,b2
A001,25,PLAT:BET:S16:EB,b2
A001,25,PLAT:BET:S17:EB,b2
A001,25,SEC:BET:S15_S16:EB,b4
A001,25,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b1
A002,1,PLAT:BET:S12:WB,b1
A002,1,PLAT:BET:S13:WB,b1
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A002,3,PLAT:BET:S11:WB,b2
A002,3,PLAT:BET:S12:WB,b2
A002,3,PLAT:BET:S13:WB,b2
A002,3,SEC:BET:S11_S12:WB,b1
A002,3,SEC:BET:S12_S13:WB,b4
A002,5,PLAT:BET:S11:WB,b1
A002,5,PLAT:BET:S12:WB,b2
A002,5,PLAT:BET:S13:WB,b2
A002,5,SEC:BET:S11_S12:WB,b3
A002,5,SEC:BET:S12_S13:WB,b4
A002,6,PLAT:BET:S11:WB,b2
A002,6,PLAT:BET:S12:WB,b2
A002,6,PLAT:BET:S13:WB,b2
A002,6,SEC:BET:S11_S12:WB,b1
A002,6,SEC:BET:S12_S13:WB,b4
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b1
A003,11,PLAT:BET:S15:EB,b1
A003,11,PLAT:BET:S16:EB,b2
A003,11,SEC:BET:H01_H02:EB,b1
A003,11,SEC:BET:H02_S15:EB,b1
A003,11,SEC:BET:S15_S16:EB,b4
A003,14,PLAT:BET:H01:EB,b1
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b1
A003,14,PLAT:BET:S16:EB,b2
A003,14,SEC:BET:H01_H02:EB,b1
A003,14,SEC:BET:H02_S15:EB,b1
A003,14,SEC:BET:S15_S16:EB,b1
A003,15,PLAT:BET:H01:EB,b1
A003,15,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:S15:EB,b2
A003,15,PLAT:BET:S16:EB,b1
A003,15,SEC:BET:H01_H02:EB,b1
A003,15,SEC:BET:H02_S15:EB,b1
A003,15,SEC:BET:S15_S16:EB,b1
A003,18,PLAT:BET:H01:EB,b1
A003,18,PLAT:BET:H02:EB,b1
A003,18,PLAT:BET:S15:EB,b1
A003,18,PLAT:BET:S16:EB,b2
A003,18,SEC:BET:H01_H02:EB,b1
A003,18,SEC:BET:H02_S15:EB,b1
A003,18,SEC:BET:S15_S16:EB,b3
A003,24,PLAT:BET:H01:EB,b1
A003,24,PLAT:BET:H02:EB,b1
A003,24,PLAT:BET:S15:EB,b1
A003,24,PLAT:BET:S16:EB,b2
A003,24,SEC:BET:H01_H02:EB,b1
A003,24,SEC:BET:H02_S15:EB,b2
A003,24,SEC:BET:S15_S16:EB,b4
A004,26,PLAT:ALP:H01:EB,b1
A004,26,PLAT:ALP:S03:EB,b1
A004,26,PLAT:ALP:S04:EB,b1
A004,26,SEC:ALP:S03_S04:EB,b1
A004,26,SEC:ALP:S04_H01:EB,b1
A004,29,PLAT:ALP:H01:EB,b1
A004,29,PLAT:ALP:S03:EB,b2
A004,29,PLAT:ALP:S04:EB,b1
A004,29,SEC:ALP:S03_S04:EB,b1
A004,29,SEC:ALP:S04_H01:EB,b1
A004,30,PLAT:ALP:H01:EB,b1
A004,30,PLAT:ALP:S03:EB,b2
