activity_id,week,location_id,co_share_group
A001,23,PLAT:BET:S15:EB,b2
A001,23,PLAT:BET:S16:EB,b2
A001,23,PLAT:BET:S17:EB,b3
A001,23,SEC:BET:S15_S16:EB,b3
A001,23,SEC:BET:S16_S17:EB,b2
A001,24,PLAT:BET:S15:EB,b1
A001,24,PLAT:BET:S16:EB,b3
A001,24,PLAT:BET:S17:EB,b3
A001,24,SEC:BET:S15_S16:EB,b2
A001,24,SEC:BET:S16_S17:EB,b1
A002,1,PLAT:BET:S11:WB,b3
A002,1,PLAT:BET:S12:WB,b3
A002,1,PLAT:BET:S13:WB,b3
A002,1,SEC:BET:S11_S12:WB,b1
A002,1,SEC:BET:S12_S13:WB,b1
A003,11,PLAT:BET:H01:EB,b1
A003,11,PLAT:BET:H02:EB,b2
A003,11,PLAT:BET:S15:EB,b3
A003,11,PLAT:BET:S16:EB,b3
A003,11,SEC:BET:H01_H02:EB,b2
A003,11,SEC:BET:H02_S15:EB,b3
A003,11,SEC:BET:S15_S16:EB,b3
A003,12,PLAT:BET:H01:EB,b2
A003,12,PLAT:BET:H02:EB,b1
A003,12,PLAT:BET:S15:EB,b2
A003,12,PLAT:BET:S16:EB,b3
A003,12,SEC:BET:H01_H02:EB,b1
A003,12,SEC:BET:H02_S15:EB,b1
A003,12,SEC:BET:S15_S16:EB,b4
A003,13,PLAT:BET:H01:EB,b2
A003,13,PLAT:BET:H02:EB,b1
A003,13,PLAT:BET:S15:EB,b3
A003,13,PLAT:BET:S16:EB,b3
A003,13,SEC:BET:H01_H02:EB,b2
A003,13,SEC:BET:H02_S15:EB,b2
A003,13,SEC:BET:S15_S16:EB,b2
A003,14,PLAT:BET:H01:EB,b2
A003,14,PLAT:BET:H02:EB,b1
A003,14,PLAT:BET:S15:EB,b2
A003,14,PLAT:BET:S16:EB,b2
A003,14,SEC:BET:H01_H02:EB,b2
A003,14,SEC:BET:H02_S15:EB,b3
A003,14,SEC:BET:S15_S16:EB,b5
A003,15,PLAT:BET:H01:EB,b2
A003,15,PLAT:BET:H02:EB,b1
A003,15,PLAT:BET:S15:EB,b3
A003,15,PLAT:BET:S16:EB,b2
A003,15,SEC:BET:H01_H02:EB,b2
A003,15,SEC:BET:H02_S15:EB,b3
A003,15,SEC:BET:S15_S16:EB,b4
A004,16,PLAT:ALP:H01:EB,b2
A004,16,PLAT:ALP:S03:EB,b1
A004,16,PLAT:ALP:S04:EB,b3
A004,16,SEC:ALP:S03_S04:EB,b1
A004,16,SEC:ALP:S04_H01:EB,b3
A004,20,PLAT:ALP:H01:EB,b1
A004,20,PLAT:ALP:S03:EB,b3
A004,20,PLAT:ALP:S04:EB,b2
A004,20,SEC:ALP:S03_S04:EB,b1
A004,20,SEC:ALP:S04_H01:EB,b3
A004,21,PLAT:ALP:H01:EB,b1
A004,21,PLAT:ALP:S03:EB,b3
A004,21,PLAT:ALP:S04:EB,b3
A004,21,SEC:ALP:S03_S04:EB,b1
A004,21,SEC:ALP:S04_H01:EB,b2
A006,13,PLAT:ALP:H01:WB,b2
A006,13,PLAT:ALP:H02:WB,b1
A006,13,PLAT:ALP:S03:WB,b2
A006,13,PLAT:ALP:S04:WB,b2
A006,13,SEC:ALP:H01_H02:WB,b1
A006,13,SEC:ALP:S03_S04:WB,b3
A006,13,SEC:ALP:S04_H01:WB,b2
A006,15,PLAT:ALP:H01:WB,b2
A006,15,PLAT:ALP:H02:WB,b2
A006,15,PLAT:ALP:S03:WB,b2
A006,15,PLAT:ALP:S04:WB,b1
A006,15,SEC:ALP:H01_H02:WB,b2
A006,15,SEC:ALP:S03_S04:WB,b5
A006,15,SEC:ALP:S04_H01:WB,b2
A007,15,PLAT:BET:H01:EB,b2
A007,15,PLAT:BET:H02:EB,b1
A007,15,SEC:BET:H01_H02:EB,b2
A007,16,PLAT:BET:H01:EB,b1
A007,16,PLAT:BET:H02:EB,b2
A007,16,SEC:BET:H01_H02:EB,b2
A007,17,PLAT:BET:H01:EB,b2
A007,17,PLAT:BET:H02:EB,b2
A007,17,SEC:BET:H01_H02:EB,b1
A007,18,PLAT:BET:H01:EB,b1
A007,18,PLAT:BET:H02:EB,b1
A007,18,SEC:BET:H01_H02:EB,b1
A007,19,PLAT:BET:H01:EB,b2
A007,19,PLAT:BET:H02:EB,b1
A007,19,SEC:BET:H01_H02:EB,b2
A007,20,PLAT:BET:H01:EB,b1
A007,20,PLAT:BET:H02:EB,b2
A007,20,SEC:BET:H01_H02:EB,b1
A007,22,PLAT:BET:H01:EB,b1
A007,22,PLAT:BET:H02:EB,b2
A007,22,SEC:BET:H01_H02:EB,b1
A008,16,PLAT:BET:S17:EB,b1
A008,16,PLAT:BET:S18:EB,b2
A008,16,SEC:BET:S17_S18:EB,b3
A008,17,PLAT:BET:S17:EB,b1
A008,17,PLAT:BET:S18:EB,b1
A008,17,SEC:BET:S17_S18:EB,b1
A008,19,PLAT:BET:S17:EB,b2
A008,19,PLAT:BET:S18:EB,b1
A008,19,SEC:BET:S17_S18:EB,b2
A008,21,PLAT:BET:S17:EB,b1
A008,21,PLAT:BET:S18:EB,b3
A008,21,SEC:BET:S17_S18:EB,b3
A008,26,PLAT:BET:S17:EB,b2
A008,26,PLAT:BET:S18:EB,b1
A008,26,SEC:BET:S17_S18:EB,b1
A009,6,PLAT:ALP:S05:EB,b3
A009,6,PLAT:ALP:S06:EB,b1
A009,6,SEC:ALP:S05_S06:EB,b1
A009,7,PLAT:ALP:S05:EB,b3
A009,7,PLAT:ALP:S06:EB,b1
A009,7,SEC:ALP:S05_S06:EB,b1
A009,11,PLAT:ALP:S05:EB,b3
A009,11,PLAT:ALP:S06:EB,b1
A009,11,SEC:ALP:S05_S06:EB,b1
A009,14,PLAT:ALP:S05:EB,b3
A009,14,PLAT:ALP:S06:EB,b1
A009,14,SEC:ALP:S05_S06:EB,b2
A009,15,PLAT:ALP:S05:EB,b1
A009,15,PLAT:ALP:S06:EB,b2
A009,15,SEC:ALP:S05_S06:EB,b2
A009,24,PLAT:ALP:S05:EB,b3
A009,24,PLAT:ALP:S06:EB,b1
A009,24,SEC:ALP:S05_S06:EB,b1
A009,25,PLAT:ALP:S05:EB,b3
A009,25,PLAT:ALP:S06:EB,b1
A009,25,SEC:ALP:S05_S06:EB,b1
A011,25,PLAT:BET:S15:EB,b2
A011,25,PLAT:BET:S16:EB,b3
A011,25,PLAT:BET:S17:EB,b3
A011,25,SEC:BET:S15_S16:EB,b2
A011,25,SEC:BET:S16_S17:EB,b4
A011,26,PLAT:BET:S15:EB,b2
A011,26,PLAT:BET:S16:EB,b2
A011,26,PLAT:BET:S17:EB,b2
A011,26,SEC:BET:S15_S16:EB,b4
A011,26,SEC:BET:S16_S17:EB,b5
A012,2,PLAT:BET:H01:WB,b2
A012,2,PLAT:BET:H02:WB,b2
A012,2,PLAT:BET:S15:WB,b3
A012,2,SEC:BET:H01_H02:WB,b2
A012,2,SEC:BET:H02_S15:WB,b1
A012,3,PLAT:BET:H01:WB,b2
A012,3,PLAT:BET:H02:WB,b2
A012,3,PLAT:BET:S15:WB,b3
A012,3,SEC:BET:H01_H02:WB,b2
A012,3,SEC:BET:H02_S15:WB,b1
A012,4,PLAT:BET:H01:WB,b2
A012,4,PLAT:BET:H02:WB,b2
A012,4,PLAT:BET:S15:WB,b3
A012,4,SEC:BET:H01_H02:WB,b2
A012,4,SEC:BET:H02_S15:WB,b1
A012,7,PLAT:BET:H01:WB,b2
A012,7,PLAT:BET:H02:WB,b2
A012,7,PLAT:BET:S15:WB,b3
A012,7,SEC:BET:H01_H02:WB,b2
A012,7,SEC:BET:H02_S15:WB,b1
A012,13,PLAT:BET:H01:WB,b2
A012,13,PLAT:BET:H02:WB,b1
A012,13,PLAT:BET:S15:WB,b2
A012,13,SEC:BET:H01_H02:WB,b2
A012,13,SEC:BET:H02_S15:WB,b1
A012,14,PLAT:BET:H01:WB,b2
A012,14,PLAT:BET:H02:WB,b1
A012,14,PLAT:BET:S15:WB,b2
A012,14,SEC:BET:H01_H02:WB,b2
A012,14,SEC:BET:H02_S15:WB,b1
A012,16,PLAT:BET:H01:WB,b2
A012,16,PLAT:BET:H02:WB,b1
A012,16,PLAT:BET:S15:WB,b3
A012,16,SEC:BET:H01_H02:WB,b2
A012,16,SEC:BET:H02_S15:WB,b1
A013,22,PLAT:ALP:S05:WB,b3
A013,22,PLAT:ALP:S06:WB,b3
A013,22,SEC:ALP:S05_S06:WB,b3
A013,23,PLAT:ALP:S05:WB,b2
A013,23,PLAT:ALP:S06:WB,b3
A013,23,SEC:ALP:S05_S06:WB,b3
A013,24,PLAT:ALP:S05:WB,b2
A013,24,PLAT:ALP:S06:WB,b2
A013,24,SEC:ALP:S05_S06:WB,b3
A013,25,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S06:WB,b2
A013,25,SEC:ALP:S05_S06:WB,b1
A013,26,PLAT:ALP:S05:WB,b1
A013,26,PLAT:ALP:S06:WB,b2
A013,26,SEC:ALP:S05_S06:WB,b2
A014,13,PLAT:ALP:S07:EB,b1
A014,13,PLAT:ALP:S08:EB,b1
A014,13,SEC:ALP:S07_S08:EB,b1
A014,16,PLAT:ALP:S07:EB,b1
A014,16,PLAT:ALP:S08:EB,b1
A014,16,SEC:ALP:S07_S08:EB,b1
A014,18,PLAT:ALP:S07:EB,b1
A014,18,PLAT:ALP:S08:EB,b1
A014,18,SEC:ALP:S07_S08:EB,b1
A014,20,PLAT:ALP:S07:EB,b1
A014,20,PLAT:ALP:S08:EB,b1
A014,20,SEC:ALP:S07_S08:EB,b1
A014,21,PLAT:ALP:S07:EB,b1
A014,21,PLAT:ALP:S08:EB,b1
A014,21,SEC:ALP:S07_S08:EB,b1
A014,23,PLAT:ALP:S07:EB,b1
A014,23,PLAT:ALP:S08:EB,b1
A014,23,SEC:ALP:S07_S08:EB,b1
A014,26,PLAT:ALP:S07:EB,b1
A014,26,PLAT:ALP:S08:EB,b1
A014,26,SEC:ALP:S07_S08:EB,b1
A017,18,PLAT:BET:H01:EB,b1
A017,18,PLAT:BET:H02:EB,b1
A017,18,PLAT:BET:S15:EB,b2
A017,18,PLAT:BET:S16:EB,b2
